source,race_id,venue,race_time,market_id,market_name,validation_status,runners,unique_selections,booksum
boylesports,45869734.10,Gowran Park,2026-07-25T13:40:00+01:00,487376111.10,win or e/w,VALID,10,10,1.3168138685809216
boylesports,45869735.10,Gowran Park,2026-07-25T14:12:00+01:00,487376126.10,win or e/w,VALID,14,14,1.3411540280005816
boylesports,45869736.10,Gowran Park,2026-07-25T14:44:00+01:00,487376139.10,win or e/w,VALID,16,16,1.3926422596587391
boylesports,45869739.10,Gowran Park,2026-07-25T15:22:00+01:00,487376264.10,win or e/w,VALID,8,8,1.193855924053944
boylesports,45869741.10,Gowran Park,2026-07-25T15:55:00+01:00,487376313.10,win or e/w,VALID,13,13,1.2721205887882836
boylesports,45869742.10,Gowran Park,2026-07-25T16:30:00+01:00,487376322.10,win or e/w,VALID,9,9,1.2140192109232357
boylesports,45869743.10,Gowran Park,2026-07-25T17:05:00+01:00,487376343.10,win or e/w,VALID,13,13,1.3109398898841336
boylesports,45869744.10,Gowran Park,2026-07-25T17:40:00+01:00,487376358.10,win or e/w,VALID,7,7,1.2012642470922317
boylesports,45869765.10,Salisbury,2026-07-25T18:15:00+01:00,487378515.10,win or e/w,VALID,4,4,1.1072831087208737
boylesports,45869766.10,Salisbury,2026-07-25T18:45:00+01:00,487378520.10,win or e/w,VALID,4,4,1.0909410144895788
boylesports,45869767.10,Salisbury,2026-07-25T19:15:00+01:00,487378525.10,win or e/w,VALID,10,10,1.2100519606604798
boylesports,45869768.10,Salisbury,2026-07-25T19:45:00+01:00,487378534.10,win or e/w,VALID,4,4,1.0938709519723582
boylesports,45869769.10,Salisbury,2026-07-25T20:15:00+01:00,487378550.10,win or e/w,VALID,6,6,1.1329059829059829
boylesports,45869770.10,Salisbury,2026-07-25T20:45:00+01:00,487378560.10,win or e/w,VALID,6,6,1.1419439320443625
boylesports,45869771.10,Lingfield,2026-07-25T17:27:00+01:00,487378582.10,win or e/w,VALID,4,4,1.1549274255156607
boylesports,45869772.10,Lingfield,2026-07-25T18:00:00+01:00,487378586.10,win or e/w,VALID,6,6,1.073202614379085
boylesports,45869773.10,Lingfield,2026-07-25T18:30:00+01:00,487378592.10,win or e/w,VALID,8,8,1.2214428573454943
boylesports,45869774.10,Lingfield,2026-07-25T19:00:00+01:00,487378598.10,win or e/w,VALID,7,7,1.185641411035959
boylesports,45869775.10,Lingfield,2026-07-25T19:30:00+01:00,487378601.10,win or e/w,VALID,7,7,1.1647546897546897
boylesports,45869776.10,Lingfield,2026-07-25T20:00:00+01:00,487378616.10,win or e/w,VALID,5,5,1.1595959595959595
boylesports,45869777.10,Lingfield,2026-07-25T20:30:00+01:00,487378624.10,win or e/w,VALID,7,7,1.1764069264069263
boylesports,45869778.10,Chester,2026-07-25T13:53:00+01:00,487378829.10,win or e/w,VALID,10,10,1.2585504421204219
boylesports,45869779.10,Chester,2026-07-25T14:28:00+01:00,487378840.10,win or e/w,VALID,8,8,1.2639391725069473
boylesports,45869780.10,Chester,2026-07-25T15:10:00+01:00,487378848.10,win or e/w,VALID,6,6,1.163585192416588
boylesports,45869781.10,Chester,2026-07-25T15:48:00+01:00,487378859.10,win or e/w,VALID,7,7,1.1740896358543418
boylesports,45869782.10,Chester,2026-07-25T16:23:00+01:00,487378896.10,win or e/w,VALID,11,11,1.2371923898778119
boylesports,45869783.10,Chester,2026-07-25T16:58:00+01:00,487378907.10,win or e/w,VALID,7,7,1.1776756457148172
boylesports,45869784.10,Chester,2026-07-25T17:33:00+01:00,487378913.10,win or e/w,VALID,11,11,1.2971727994951046
boylesports,45869786.10,Ascot,2026-07-25T13:10:00+01:00,487379133.10,win or e/w,VALID,9,9,1.1575199310493427
boylesports,45869787.10,Ascot,2026-07-25T13:45:00+01:00,487379138.10,win or e/w,VALID,11,11,1.1801841948900773
boylesports,45869788.10,Ascot,2026-07-25T14:20:00+01:00,487379147.10,win or e/w,VALID,8,8,1.1740555267409487
boylesports,45869789.10,Ascot,2026-07-25T14:55:00+01:00,487379151.10,win or e/w,VALID,16,16,1.4034696037054075
boylesports,45869790.10,Ascot,2026-07-25T15:35:00+01:00,487379157.10,win or e/w,VALID,9,9,1.1274974830793298
boylesports,45869791.10,Ascot,2026-07-25T16:10:00+01:00,487379169.10,win or e/w,VALID,15,15,1.2762060341280452
boylesports,45869792.10,Ascot,2026-07-25T16:45:00+01:00,487379185.10,win or e/w,VALID,11,11,1.168545180309886
boylesports,45869793.10,Ascot,2026-07-25T17:20:00+01:00,487379194.10,win or e/w,VALID,13,13,1.272723765979344
boylesports,45869796.10,York,2026-07-25T14:35:00+01:00,487379252.10,win or e/w,VALID,5,5,1.0985994397759102
boylesports,45869797.10,York,2026-07-25T15:05:00+01:00,487379269.10,win or e/w,VALID,16,16,1.3022604472855355
boylesports,45869798.10,York,2026-07-25T15:42:00+01:00,487379281.10,win or e/w,VALID,6,6,1.1413992869875222
boylesports,45869799.10,York,2026-07-25T16:17:00+01:00,487379297.10,win or e/w,VALID,10,10,1.2103151033567103
boylesports,45869801.10,Newcastle,2026-07-25T13:35:00+01:00,487379353.10,win or e/w,VALID,13,13,1.4742473248787813
boylesports,45869802.10,Newcastle,2026-07-25T14:05:00+01:00,487379362.10,win or e/w,VALID,13,13,1.3885783655794544
boylesports,45869803.10,Newcastle,2026-07-25T14:39:00+01:00,487379375.10,win or e/w,VALID,14,14,1.3160105349782671
boylesports,45869804.10,Newcastle,2026-07-25T15:15:00+01:00,487379382.10,win or e/w,VALID,14,14,1.3596025089210169
boylesports,45869807.10,Newcastle,2026-07-25T17:10:00+01:00,487379420.10,win or e/w,VALID,10,10,1.2174966340085018
boylesports,45869808.10,Newcastle,2026-07-25T17:45:00+01:00,487379427.10,win or e/w,VALID,13,13,1.322307001702577
boylesports,45883309.10,Del Mar,2026-07-25T22:00:00+01:00,487518994.10,win or e/w,INVALID,8,8,0.0
boylesports,45883310.10,Del Mar,2026-07-25T22:32:00+01:00,487518997.10,win or e/w,INVALID,13,13,0.0
boylesports,45883311.10,Del Mar,2026-07-25T23:04:00+01:00,487519001.10,win or e/w,INVALID,8,8,0.0
boylesports,45883312.10,Del Mar,2026-07-25T23:38:00+01:00,487519008.10,win or e/w,INVALID,8,8,0.0
boylesports,45883320.10,Gulfstream,2026-07-25T17:20:00+01:00,487519003.10,win or e/w,INVALID,8,8,0.0
boylesports,45883321.10,Gulfstream,2026-07-25T17:55:00+01:00,487519007.10,win or e/w,INVALID,7,7,0.0
boylesports,45883386.10,Prairie Medw,2026-07-25T23:00:00+01:00,487519122.10,win or e/w,INVALID,8,8,0.0
boylesports,45883387.10,Prairie Medw,2026-07-25T23:25:00+01:00,487519127.10,win or e/w,INVALID,9,9,0.0
boylesports,45883388.10,Prairie Medw,2026-07-25T23:50:00+01:00,487519131.10,win or e/w,INVALID,9,9,0.0
