source,race_id,venue,race_time,market_id,market_name,validation_status,runners,unique_selections,booksum
boylesports,45869734.10,Gowran Park,2026-07-25 12:40:00+00:00,,,MISSING,11,11,1.3349134160922338
boylesports,45869735.10,Gowran Park,2026-07-25 13:12:00+00:00,,,MISSING,14,14,1.2983859571925833
boylesports,45869736.10,Gowran Park,2026-07-25 13:44:00+00:00,,,MISSING,16,16,1.4157145520034773
boylesports,45869739.10,Gowran Park,2026-07-25 14:22:00+00:00,,,MISSING,8,8,1.1888054190034387
boylesports,45869741.10,Gowran Park,2026-07-25 14:55:00+00:00,,,MISSING,13,13,1.2642774515333817
boylesports,45869742.10,Gowran Park,2026-07-25 15:30:00+00:00,,,MISSING,9,9,1.2140192109232357
boylesports,45869743.10,Gowran Park,2026-07-25 16:05:00+00:00,,,MISSING,13,13,1.3058688959693263
boylesports,45869744.10,Gowran Park,2026-07-25 16:40:00+00:00,,,MISSING,7,7,1.2012642470922317
boylesports,45869765.10,Salisbury,2026-07-25 17:15:00+00:00,,,MISSING,4,4,1.1022615879174305
boylesports,45869766.10,Salisbury,2026-07-25 17:45:00+00:00,,,MISSING,4,4,1.0909410144895788
boylesports,45869767.10,Salisbury,2026-07-25 18:15:00+00:00,,,MISSING,10,10,1.2005281511366703
boylesports,45869768.10,Salisbury,2026-07-25 18:45:00+00:00,,,MISSING,4,4,1.1079876810487288
boylesports,45869769.10,Salisbury,2026-07-25 19:15:00+00:00,,,MISSING,6,6,1.1329059829059829
boylesports,45869770.10,Salisbury,2026-07-25 19:45:00+00:00,,,MISSING,6,6,1.1419439320443625
boylesports,45869771.10,Lingfield,2026-07-25 16:27:00+00:00,,,MISSING,4,4,1.1147677983736377
boylesports,45869772.10,Lingfield,2026-07-25 17:00:00+00:00,,,MISSING,6,6,1.077243018419489
boylesports,45869773.10,Lingfield,2026-07-25 17:30:00+00:00,,,MISSING,8,8,1.226459579753521
boylesports,45869774.10,Lingfield,2026-07-25 18:00:00+00:00,,,MISSING,7,7,1.180859010270775
boylesports,45869775.10,Lingfield,2026-07-25 18:30:00+00:00,,,MISSING,7,7,1.173301716053179
boylesports,45869776.10,Lingfield,2026-07-25 19:00:00+00:00,,,MISSING,5,5,1.1595959595959595
boylesports,45869777.10,Lingfield,2026-07-25 19:30:00+00:00,,,MISSING,7,7,1.1699346405228759
boylesports,45869778.10,Chester,2026-07-25 12:53:00+00:00,,,MISSING,10,10,1.2720472207768034
boylesports,45869779.10,Chester,2026-07-25 13:28:00+00:00,,,MISSING,8,8,1.2740698914611959
boylesports,45869780.10,Chester,2026-07-25 14:10:00+00:00,,,MISSING,6,6,1.1458381114180733
boylesports,45869781.10,Chester,2026-07-25 14:48:00+00:00,,,MISSING,7,7,1.1598039215686275
boylesports,45869782.10,Chester,2026-07-25 15:23:00+00:00,,,MISSING,11,11,1.2422633837926191
boylesports,45869783.10,Chester,2026-07-25 15:58:00+00:00,,,MISSING,7,7,1.1776756457148172
